group,subgroup,date,date_end,title,deadline,prepare,session,lab,assignment,evaluation,note
Intro to R,Week 1,2023-09-06,,Meet the Toolkit,,material/01-material,slides/01-slides,https://github.com/r4da-f23/week01-meet-the-toolkit,https://github.com/r4da-f23?q=PS01,,
Intro to R,Week 2,2023-09-13,,Describing Variables,,material/02-material,slides/02-slides,,,,
Intro to R,Week 3,2023-09-20,,Describing Relationships,,,,,,,
Data Management,Week 4,2023-09-27,,Data Wrangling,,,,,,,
Data Management,Week 5,2023-10-04,,Data Merging,,,,,,,
Data Management,Week 6,2023-10-11,,Working with strings and factors,,,,,,,
Regression,Week 7,2023-10-18,,Linear Regression,,,,,,,
Regression,Week 8,2023-10-25,,Uncertainty and Statistical Inference,,,,,,,
Regression,Week 9,2023-11-01,,No class,,,,,,,
Regression,Week 10,2023-11-08,,Communicating Results with Simulation,,,,,,,
Regression,Week 11,2023-11-15,,Interaction Effects,,,,,,,
Regression,Week 12,2023-11-22,,Binary Dependent Variable,,,,,,,
Regression,Week 13,2023-11-29,,Count Dependent Variable,,,,,,,
Final,Week 14,2023-12-06,,Review,,,,,,,
Final,Final project,2023-12-06,,Final project,2023-12-16,,,,assignment/final-project,,
